0,1,2,3,4,5
"HP 16d0360TX Victus Gaming Laptop (11th Gen Intel Core i7-11800H/16GB/512GB SSD/6GB Nvidia GeForce RTX 3060 Graphics/Windows 10/MSO/FHD), 40.9 cm (16.1 inch)",11th Gen Intel Core i7-11800H Processor, 16 GB, Windows 10 Operating System,512 gb ssd,112497
"Dell 3400 Vostro Laptop (11th Gen Intel Core i5/8GB/256 GB SSD + 1TB HDD/Windows 10/MSO/FHD), 35.56 cm (14 inch)",11th Gen Intel Core i5 1135G7 Processor, 8 GB, Windows 10 Home,512 gb + 1 tb hybrid,56499
Dell Insprion 3520 Laptop (12th Gen-Intel-Core i5-1235U/8 GB RAM/512 GB/Intel Integrated Graphics/Windows 11/MSO/FHD)  39.62 cm (15.6 inch),12th Gen-Intel Core i5-1235U Processor, 8 GB, Windows 11,512 ssd,58799
Dell Insprion 3520 Laptop (12th Gen Intel Core i3-1215U/8GB RAM/512 GB/Intel Integrated Graphics/Windows 11//MSO/FHD),12th Gen Intel Core i3-1215U Processor, 8 GB, Windows 11,512 gb ssd,46099
"Dell 3501 Inspiron Laptop (11th Gen Intel Core i5-1135G7/8GB/512GB SSD/Intel Iris Xe Graphics/Windows 10/MSO/FHD),  39.62 cm (15.6 inch)",Quad-core Intel Core i5-1135G7 11th Gen Processor, 8GB, Windows 10,512 gb ssd,56999
"HP 14-dw1039TU Pavilion x360 Convertible Laptop (11th Gen Intel Core i5-1135G7/8GB/512GB PCIe-SSD/Intel Iris Xe Graphics/Windows 10/MSO/FHD), 35.6 cm (14 inch)",Quad-core Intel Core i5-1135G7 11th Gen Processor, 8 GB, Windows 10,512 gb ssd,73999
"AVITA Liber V14 A8INF561-GB Laptop (10th Gen Intel Core i5-10210U/8GB/512GB SSD/Intel Graphics/Windows 10/FHD), 35.56 cm (14 inch)",10th Gen Intel Core i5-10210U Processor, 8GB,,512gb ssd,47999
"HP 15-ec1023AX Pavilion Gaming Laptop (AMD Ryzen 5 4600H/8GB/1TB HDD + 256GB SSD/4GB NVIDIA GeForce GTX 1650Ti Graphics/Windows 10 Home/Full HD), 39.62 cm (15.6 inch)",AMD Ryzen 5 4600H Processor, 8GB, Windows 10,,61999
"HP 15-ec1106AX Pavilion Gaming Laptop (AMD Ryzen 5 4600H/8GB/512GB/4GB NVIDIA GeForce GTX 1650 Graphics/Windows 10 Home/Full HD), 39.62 cm (15.6 inch)",AMD Ryzen 5 4600H Processor, 8GB,,512 gb ssd,62999
"HP 15s-FQ2076TU Laptop (11th Gen Intel Core i5-1135G7/8GB/512GB SSD/Intel UHD Graphics/Windows 10/MSO/Full HD), 39.62 cm (15.6 inch)",11th Gen Intel Core i5-1135G7 Processor, 8 GB, Windows 10 Home 64 Plus Single Language,512 gb ssd,53499
