0,1,2,3,4,5,brand_name,processor_brand
"HP 16d0351TX Victus Gaming Laptop (11th Gen Intel Core i5-11400H/16GB/512GB SSD/4GB Nvidia GeForce RTX 3050 Graphics/Windows 10/MSO/FHD), 40.9 cm (16.1 inch)",11th Gen Intel Core i5-11400H Processor,16,Windows 10,512 gb ssd,79997.0,hp,intel i5 11th
"HP 16d0360TX Victus Gaming Laptop (11th Gen Intel Core i7-11800H/16GB/512GB SSD/6GB Nvidia GeForce RTX 3060 Graphics/Windows 10/MSO/FHD), 40.9 cm (16.1 inch)",11th Gen Intel Core i7-11800H Processor,16,Windows 10,512 gb ssd,112497.0,hp,intel i7 11th
"Dell 3400 Vostro Laptop (11th Gen Intel Core i5/8GB/256 GB SSD + 1TB HDD/Windows 10/MSO/FHD), 35.56 cm (14 inch)",11th Gen Intel Core i5 1135G7 Processor,8 ,Windows 10,512 gb ,56499.0,dell,intel i5 11th
Dell Insprion 3520 Laptop (12th Gen-Intel-Core i5-1235U/8 GB RAM/512 GB/Intel Integrated Graphics/Windows 11/MSO/FHD)  39.62 cm (15.6 inch),12th Gen-Intel Core i5-1235U Processor,8 ,Windows 11,512 gb ssd,58799.0,dell,intel i5 12th
Dell Insprion 3520 Laptop (12th Gen Intel Core i3-1215U/8GB RAM/512 GB/Intel Integrated Graphics/Windows 11//MSO/FHD),12th Gen Intel Core i3-1215U Processor,8 ,Windows 11,512 gb ssd,46099.0,dell,intel i3 12th
"Dell 3501 Inspiron Laptop (11th Gen Intel Core i5-1135G7/8GB/512GB SSD/Intel Iris Xe Graphics/Windows 10/MSO/FHD),  39.62 cm (15.6 inch)",Quad-core Intel Core i5-1135G7 11th Gen Processor,8 ,Windows 10,512 gb ssd,56999.0,dell,intel i5 11th
"HP 14-dw1039TU Pavilion x360 Convertible Laptop (11th Gen Intel Core i5-1135G7/8GB/512GB PCIe-SSD/Intel Iris Xe Graphics/Windows 10/MSO/FHD), 35.6 cm (14 inch)",Quad-core Intel Core i5-1135G7 11th Gen Processor,8 ,Windows 10,512 gb ssd,73999.0,hp,intel i5 11th
"AVITA Liber V14 A8INF561-GB Laptop (10th Gen Intel Core i5-10210U/8GB/512GB SSD/Intel Graphics/Windows 10/FHD), 35.56 cm (14 inch)",10th Gen Intel Core i5-10210U Processor,8 ,nan,512 gb ssd,47999.0,avita,intel i5 10th
"HP 15-ec1023AX Pavilion Gaming Laptop (AMD Ryzen 5 4600H/8GB/1TB HDD + 256GB SSD/4GB NVIDIA GeForce GTX 1650Ti Graphics/Windows 10 Home/Full HD), 39.62 cm (15.6 inch)",AMD Ryzen 5 4600H Processor,8 ,Windows 10,nan,61999.0,hp,amd ryzen  5 
"HP 15-ec1106AX Pavilion Gaming Laptop (AMD Ryzen 5 4600H/8GB/512GB/4GB NVIDIA GeForce GTX 1650 Graphics/Windows 10 Home/Full HD), 39.62 cm (15.6 inch)",AMD Ryzen 5 4600H Processor,8 ,nan,512 gb ssd,62999.0,hp,amd ryzen  5 
"HP 15s-FQ2076TU Laptop (11th Gen Intel Core i5-1135G7/8GB/512GB SSD/Intel UHD Graphics/Windows 10/MSO/Full HD), 39.62 cm (15.6 inch)",11th Gen Intel Core i5-1135G7 Processor,8 ,Windows 10,512 gb ssd,53499.0,hp,intel i5 11th
"Dell 3501 Inspiron 15 Laptop (11th Gen Intel Core i3/8GB/256GB SSD/Windows 10/MSO/Full HD), 39.62 cm (15.6 inch)",Intel Core i3 11th Gen 1115G4 Processor,8 ,Windows 10,256 gb ssd,45199.0,dell,intel i3 11th
"HP 16d0300TX Victus Gaming Laptop (11th Gen Intel Core i5-11400H/8GB/512GB SSD/4GB Nvidia GeForce GTX 1650 Graphics/Windows 10/MSO/FHD), 40.9 cm (16.1 inch)",11th Gen Intel Core i5-11400H Processor,8 ,Windows 10,512 gb ssd,68997.0,hp,intel i5 11th
"HP 16d0005TX Victus Gaming Laptop (11th Gen Intel Core i7-11800H/16GB/512GB SSD/4GB Nvidia GeForce RTX 3050 Graphics/Windows 10/MSO/FHD), 40.9 cm (16.1 inch)",11th Gen Intel Core i7-11800H Processor,16,Windows 10,512 gb ssd,94997.0,hp,intel i7 11th
"HP 15-ec2008AX Pavilion Gaming Laptop (AMD Ryzen 5-5600H/8GB/512GB SSD/4GB Nvidia GeForce GTX 1650 Graphics/Windows 10/MSO/FHD), 39.62 cm (15.6 inch)",,8 ,Windows 10,512 gb ssd,68997.0,hp,nan
"Asus K6464TS ROG Flow X13 Gaming Laptop (AMD Ryzen 9-5900HS/16GB/1TB SSD/4GB Nvidia GeForce GTX 1650 Graphics/Windows 10/MSO/WUXGA), 34.03 cm (13.4 inch)",,16,Windows 10,1 tb ssd,102900.0,asus,nan
"HP 15-DK1129TX Pavilion Gaming Laptop (10th Gen Intel Core i5-10300H/8GB/1TB HDD + 256GB SSD/4GB Nvidia GeForce GTX 1650 Graphics/Windows 10/MSO/FHD), 39.6 cm (15.6 inch)",10th Gen Intel Core i5-10300H Processor,8 ,Windows 10,1 tb ,74999.0,hp,intel i5 10th
"Lenovo CVIN IdeaPad Slim 3i Laptop (11th Gen Intel Core i5-1135G7/8GB/512GB SSD/Intel Iris Xe Graphics/Windows 10/MSO/FHD), 39.6 cm (15.6 inch)",,8 ,Windows 10,512 gb ssd,63190.0,lenovo,nan
"Asus EB562TS Laptop (11th Gen Intel Core i5-1135G7/8GB/512GB SSD Plus 32GB Optane/2GB Nvidia GeForce MX 330 Graphics/Windows 10/MSO/Full HD), 35.56 cm (14 inch)",,8 ,Windows 10,512 gb ,51990.0,asus,nan
"Asus BV301TS Laptop (10th Gen Intel Core i3-10110U/4GB/1TB HDD/Intel HD 520 Graphics/Windows 10/HD), 35.56 cm (14 inch)",,4 ,Windows 10,1 tb sata,30990.0,asus,nan
"Asus EK003W Laptop (Intel Celeron N4500/4GB/256GB SSD/Intel HD Graphics/Windows 11/Full HD), 35.56 cm (14 inch)",Intel Celeron N4500 Processor,4 ,Windows 11,256 gb ssd,22990.0,asus,intel celeron
